frame.time_epoch,eth.src,eth.dst,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,arp.isgratuitous
1778231142.798399182,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.78,
1778231142.798399262,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.79,
1778231142.798797820,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.80,
1778231142.798798030,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.81,
1778231142.798798100,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.82,
1778231143.428222762,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.17,
1778231143.428223003,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.85,
1778231143.428223112,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.86,
1778231143.428223203,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.87,
1778231143.428478462,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.88,
1778231143.428478592,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.89,
1778231143.428478642,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.90,
1778231143.428478692,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.91,
1778231143.431010442,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.94,
1778231143.431010643,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.95,
1778231143.431010713,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.96,
1778231143.431010793,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.97,
1778231143.467741908,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.100,
1778231143.467742038,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.101,
1778231143.467742088,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.102,
1778231143.467742138,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.103,
1778231143.467917026,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.104,
1778231143.511626122,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.107,
1778231143.511626242,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.108,
1778231143.511626292,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.109,
